train_time,train_losses,train_accuracies,train_f1_scores,val_losses,val_accuracies,val_f1_scores,,
10.3028276,0.692029323,0.604990127,0.707623628,0.672198971,0.627487042,0.771111568,,10.4670396
10.454844,0.683613228,0.644982947,0.783889508,0.679612378,0.627487042,0.771111568,,
10.45195293,0.675534738,0.637336205,0.777017482,0.672040085,0.626149473,0.769721936,,
10.46415544,0.666662966,0.642039131,0.780861959,0.66797332,0.627487042,0.771111568,,
10.44437551,0.661456853,0.642254532,0.779423158,0.673516214,0.627319846,0.770985308,,
10.54131532,0.654502852,0.648285766,0.777628981,0.674081008,0.644206654,0.771477663,,
10.5553906,0.644815756,0.664512655,0.78125512,0.689433118,0.642701889,0.773550917,,
10.45042181,0.628266777,0.675713516,0.782970135,0.854997416,0.62414312,0.768342951,,
10.44332838,0.589303681,0.713336923,0.800629198,0.85542961,0.646045812,0.774138483,,
10.55548978,0.550883436,0.746077903,0.817823567,0.461996625,0.819929778,0.862469672,,
10.5406642,0.509381122,0.794830372,0.849164665,0.468481322,0.831299114,0.871938063,,
10.43083024,0.486094215,0.809513552,0.859577621,0.485136499,0.822604916,0.85054233,,
10.39843988,0.481640622,0.80725184,0.857218839,0.554267625,0.783481023,0.80201804,,
10.44645214,0.472463574,0.813283073,0.859603185,0.757750889,0.697876609,0.80479637,,
10.40065145,0.462998373,0.83281278,0.87431517,0.451741517,0.83965892,0.878807026,,
10.52947855,0.447777408,0.841177526,0.882290336,0.473194073,0.817923424,0.854197349,,
10.46064901,0.460076381,0.818775803,0.868521123,0.431638638,0.859388062,0.888001065,,
10.54814577,0.458510209,0.827104649,0.873933302,0.393095235,0.882795519,0.901475755,,
10.56232953,0.43621986,0.847172859,0.886416393,0.416025937,0.875104498,0.904973922,,
10.45560718,0.432524707,0.848752468,0.888097957,0.415016582,0.863567965,0.897280967,,
10.4111228,0.427121516,0.855322204,0.892303581,0.552947919,0.812405952,0.8643289,,
10.51422644,0.435362756,0.839418417,0.882810658,0.4568895,0.847015549,0.873566395,,
10.41809011,0.426207981,0.850619278,0.890537448,0.506172717,0.776124394,0.844247993,,
10.68845272,0.437751176,0.837946509,0.882190208,0.356273701,0.910382879,0.928780229,,
10.43435335,0.41438746,0.865158858,0.898051137,0.377126118,0.892994483,0.915029209,,
10.47076321,0.406446221,0.873415904,0.903740104,0.517134249,0.863066377,0.891075941,,
10.40495324,0.398078716,0.875821217,0.905762158,0.404164881,0.882628323,0.897935446,,
10.40377593,0.398667651,0.877795728,0.907600434,0.352703134,0.912556429,0.930294549,,
10.4270525,0.393181062,0.879339436,0.909120407,0.3680634,0.904363819,0.919527293,,
10.45452523,0.390278339,0.879195836,0.909213544,0.556457281,0.802206989,0.862489829,,
10.50459576,0.390165983,0.879698438,0.910061998,0.420117915,0.854706571,0.89333497,,
10.39766097,0.383888449,0.885155268,0.914229026,0.45323059,0.857214513,0.895650049,,
10.46794939,0.393060022,0.872985101,0.905562673,0.472138067,0.823775288,0.875029642,,
10.46316767,0.381923818,0.88727338,0.914697093,0.388362408,0.884300284,0.913629556,,
10.39405465,0.380665238,0.887775983,0.915412923,0.35059012,0.911720448,0.928571429,,
10.50975347,0.373376135,0.895386825,0.92072474,0.34441787,0.913726802,0.929062414,,
10.4618783,0.374026875,0.893771316,0.919990266,0.332239489,0.923089784,0.938943456,,
10.4794538,0.373041257,0.890145396,0.916684818,0.455259323,0.833138271,0.880593443,,
10.39756346,0.370144446,0.895817627,0.921926285,0.397463997,0.879117204,0.910442215,,
10.42063165,0.37082544,0.894202118,0.921112509,0.401705792,0.872094967,0.905660377,,
10.46426606,0.377599107,0.887704182,0.916657785,0.359630982,0.904865407,0.926967013,,
10.4065876,0.372915598,0.893017412,0.92012437,0.442010721,0.837819763,0.88344148,,
10.45522451,0.373618458,0.893412314,0.920532106,0.53436478,0.78231065,0.851301964,,
10.52524304,0.376711896,0.88906839,0.916872915,0.335110327,0.921417823,0.937115333,,
10.4662528,0.364862925,0.905008078,0.928148591,0.346041689,0.914562782,0.932930831,,
10.46435261,0.366216176,0.898438341,0.92384311,0.430646757,0.860558435,0.898761835,,
10.46283078,0.366617656,0.900484653,0.925161987,0.4063737,0.868751045,0.902882593,,
10.52538514,0.367980031,0.89635613,0.922151813,0.552814682,0.784985788,0.852860412,,
10.52371573,0.36880726,0.894776521,0.920212332,0.346423397,0.911887644,0.931245923,,
10.52383304,0.361358643,0.902602764,0.926186913,0.336905887,0.923591373,0.938368173,,
10.55668902,0.361729977,0.902423263,0.925907753,0.373291999,0.883965892,0.911772184,,
10.45858479,0.361363121,0.90005385,0.924232528,0.384897451,0.877445243,0.909090909,,
10.46429181,0.360442455,0.901382158,0.925082499,0.333737701,0.924427353,0.940243258,,
10.55054736,0.356240351,0.905726081,0.928329694,0.383722464,0.884133088,0.913493946,,
10.52060843,0.364385094,0.892407108,0.917221378,0.379797379,0.888647383,0.916268544,,
10.47444487,0.358536082,0.904792676,0.926699834,0.328433235,0.926600903,0.942030899,,
10.42880177,0.35950749,0.900771854,0.924501502,0.430896988,0.846012373,0.888700906,,
10.71084499,0.357570853,0.899587148,0.923668914,0.348208716,0.909212506,0.929195462,,
10.51147151,0.354577377,0.904182373,0.926830606,0.380405565,0.889984952,0.917274327,,
10.48262644,0.352145116,0.906623586,0.929426129,0.43420128,0.852700217,0.893302652,,
10.42051959,0.352498278,0.911541913,0.933261105,0.365449637,0.897675974,0.922472764,,
10.40674734,0.352528817,0.908239095,0.930690385,0.363182743,0.904363819,0.92685422,,
10.52710986,0.348626216,0.912583019,0.933696392,0.448799004,0.830797525,0.879063098,,
10.53128386,0.356274824,0.899802549,0.923928153,0.364894797,0.896672797,0.921871049,,
10.46896338,0.34953231,0.907413391,0.928947296,0.342853715,0.913058017,0.932291667,,
10.46121693,0.347469785,0.911111111,0.932662497,0.35667933,0.908042133,0.928958925,,
10.39390016,0.346908141,0.912044516,0.933438383,0.37894241,0.884133088,0.913493946,,
10.40144372,0.348445058,0.910105906,0.931651927,0.349131445,0.905868584,0.927940612,,
10.40221643,0.345190823,0.913624125,0.934548422,0.371992211,0.897174386,0.922102597,,
10.44123006,0.344236059,0.912906121,0.933856808,0.391408632,0.874937301,0.906988311,,
10.40493369,0.340868677,0.915203734,0.935390339,0.337766796,0.917405116,0.935877466,,
10.4665525,0.34031428,0.917106444,0.937113599,0.384120633,0.880120381,0.910765401,,
10.52284145,0.339150782,0.916208939,0.936634631,0.341149459,0.920916235,0.93821032,,
10.45418406,0.340353291,0.916244839,0.936560163,0.346076399,0.913392409,0.933419023,,
10.40015936,0.343153334,0.915419135,0.936106742,0.369241556,0.892994483,0.918761107,,
10.39813876,0.339016046,0.920229761,0.939622847,0.341687143,0.914395586,0.933609959,,
10.45537305,0.33856602,0.919368157,0.939030349,0.328840733,0.928272864,0.943261473,,
10.55144906,0.33597404,0.921558069,0.940674975,0.325374742,0.927771276,0.942245989,,
10.45011377,0.340459074,0.919080955,0.939097541,0.334172686,0.91941147,0.937304891,,
10.45896053,0.33438362,0.92367618,0.942300385,0.356184542,0.907206153,0.929290355,,
10.40530086,0.337776097,0.92008616,0.939736856,0.375708948,0.893161679,0.919389429,,
10.46827674,0.33735321,0.918291151,0.938556233,0.36845245,0.89266009,0.919021191,,
10.51539636,0.333649848,0.922240172,0.94126898,0.350223531,0.906537368,0.92786166,,
10.46952748,0.334672747,0.91994256,0.939635104,0.335746109,0.922588196,0.939737082,,
10.46660471,0.333640592,0.923424879,0.942196688,0.342596064,0.921083431,0.939222251,,
10.45855904,0.330453028,0.923783881,0.942358339,0.319722871,0.932619963,0.94678463,,
10.42761612,0.333120459,0.924645486,0.943053257,0.375492324,0.888312991,0.916122551,,
10.44507003,0.330670344,0.925255789,0.943482274,0.339212378,0.918241097,0.936336415,,
10.53034496,0.332405241,0.92356848,0.942373799,0.33457456,0.920749039,0.938168536,,
10.47573018,0.331379824,0.924896787,0.943223145,0.329391648,0.930112021,0.945273632,,
10.464926,0.32961406,0.925614791,0.943787303,0.323826104,0.932118375,0.946775039,,
10.40209532,0.328682359,0.926260994,0.944375237,0.330177645,0.922421,0.939393939,,
